epoch,objective_train,test_euler_residual_mean,test_euler_residual_p50,test_euler_residual_p90,test_lifetime_reward_mean,aggregate_capital_mean,aggregate_capital_std,wall_time_sec,seed,net_size,objective_name,num_agents
100,0.12607325613498688,0.6397955764907031,0.6404099118144329,0.6739326500674323,-8.565994099130613,0.4522056013537243,0.019075258407946397,0.14966893196105957,42,64,euler,1
200,0.056186288595199585,0.3777204852033099,0.37590642903294946,0.40216054245460275,-4.599826498049937,0.7138689388822518,0.03169168302918472,0.3555631637573242,42,64,euler,1
300,0.03562948852777481,0.28835656670015636,0.28706630898539975,0.3044903581096526,-3.0937370706431797,0.8893885206364263,0.03519676103327186,0.562330961227417,42,64,euler,1
400,0.026149913668632507,0.23707612052712987,0.2377149265617151,0.2500952429235274,-1.935141856842996,1.0384656757639708,0.04374653623505318,0.7688999176025391,42,64,euler,1
500,0.01961589977145195,0.2032246705560009,0.20314535526735433,0.21598492240038064,-0.9937657077500606,1.1696326647078419,0.05256224211880884,0.9743671417236328,42,64,euler,1
600,0.017729219049215317,0.1819268421340009,0.18197457622491275,0.19300374116503627,-0.631596156335975,1.2661874925633654,0.05401407285208408,1.180811882019043,42,64,euler,1
700,0.014078021980822086,0.1616142986480814,0.16182889475873408,0.17220174542898992,0.24839516972410464,1.3857673038449676,0.06628776899798251,1.3862459659576416,42,64,euler,1
800,0.013295438140630722,0.14864865154168985,0.14853543764915067,0.15833909556489117,0.5371713903541263,1.4677556094106003,0.07027752857840504,1.5978021621704102,42,64,euler,1
900,0.011135192587971687,0.13413475702202432,0.13445939736973944,0.14113523360680091,1.4387411710852502,1.5846907832250678,0.057417720439823176,1.8045320510864258,42,64,euler,1
1000,0.009372223168611526,0.12448829331508672,0.12390797337535442,0.13306830836116057,1.8452752032539879,1.6700603581387536,0.07180118328126693,2.0122110843658447,42,64,euler,1
1100,0.008506087586283684,0.11803796608667094,0.11852630027153288,0.12566632143224787,1.8758611339249769,1.7249268324398797,0.08286983271541677,2.2194340229034424,42,64,euler,1
1200,0.007933259010314941,0.11171100196184652,0.1116102245369508,0.11962021622498697,1.9802554700381405,1.785010786796161,0.09301580895438037,2.4257969856262207,42,64,euler,1
1300,0.006913971155881882,0.10368331198974438,0.10397791369502762,0.11167742850435579,2.6623913005916418,1.8842960992382172,0.09541651520449179,2.629810094833374,42,64,euler,1
1400,0.006445528939366341,0.09756122388673195,0.09709912654256236,0.10398355663224468,3.0823464806168936,1.9633715343200442,0.08036232634181574,2.835169792175293,42,64,euler,1
1500,0.006208449602127075,0.0949025350419432,0.09422806512926707,0.10266579287569633,2.7608409743947973,1.9820969191117366,0.10219496124099378,3.0400729179382324,42,64,euler,1
1600,0.0055843074806034565,0.09045449178755628,0.09030041337111816,0.09707622203515212,2.93606956521553,2.040328553691419,0.09707792987037943,3.2515201568603516,42,64,euler,1
1700,0.0049489522352814674,0.08750339196586797,0.08682745978617656,0.09403982794032262,2.841657235641257,2.0723873912965134,0.0921106160939339,3.459908962249756,42,64,euler,1
1800,0.005014793016016483,0.08103281426740819,0.08054053551309592,0.08711136701946572,3.6931420133562955,2.1915666577070074,0.10327306754987761,3.6744720935821533,42,64,euler,1
1900,0.004423930775374174,0.07863384977747775,0.07805184646653507,0.08623101582391823,3.6576322379266153,2.226433667631492,0.13088684019809274,3.884833812713623,42,64,euler,1
2000,0.0040242657996714115,0.07548857453988897,0.07504689244918694,0.0817864450680679,3.7724836246981703,2.2753396217094646,0.10937918090163486,4.108794927597046,42,64,euler,1
2100,0.003378063440322876,0.07340676707324907,0.0732386783954907,0.07864623050272168,3.742815157509826,2.3044687088079217,0.09421684004372156,4.329738140106201,42,64,euler,1
2200,0.003879284719005227,0.07132247344149484,0.07133344014007426,0.07736598127271917,3.7721353429477364,2.340853174782743,0.1227441329516505,4.537016868591309,42,64,euler,1
2300,0.0031466586515307426,0.06845248572836267,0.06810167533214051,0.07426961129879042,3.9837230583204706,2.3966583799792085,0.11585821936255035,4.748053789138794,42,64,euler,1
2400,0.003178546205163002,0.06685345949381157,0.06718910504298137,0.07104427585671466,3.8803847651993895,2.4169989645759484,0.09523548588694812,4.997643947601318,42,64,euler,1
2500,0.0031282417476177216,0.06365887378708954,0.06375758773558016,0.06811263877145919,4.309381353106332,2.495660405232531,0.10681201606041985,5.210472106933594,42,64,euler,1
2600,0.0027687177062034607,0.06174374796009831,0.06143366329706723,0.06691291923051271,4.435149429163063,2.5386189049482426,0.12288666359477199,5.4206390380859375,42,64,euler,1
2700,0.0022987229749560356,0.06042461521346409,0.059874631853729765,0.06649303382082102,4.319541103493162,2.5592751731102865,0.14406959016325596,5.628408908843994,42,64,euler,1
2800,0.0025517893955111504,0.057704441376956954,0.05745175053640539,0.062131101846549734,4.7302969693856305,2.6314799076168653,0.11689457239409058,5.8364198207855225,42,64,euler,1
2900,0.0025581736117601395,0.05620179731158871,0.056306754248551916,0.060491278490958054,4.765331666632016,2.665692648375272,0.12072960054893969,6.04421591758728,42,64,euler,1
3000,0.0022773658856749535,0.05437755391889845,0.054221378903185014,0.05894755759682273,4.886488871944288,2.7106244691355834,0.11549612501805787,6.250951051712036,42,64,euler,1
100,0.048195529729127884,0.06902643119277987,0.06725309501564103,0.10255153390556626,4.065542580389927,12.145000056376245,0.6513115026842957,0.1558971405029297,42,64,euler,5
200,0.004086049739271402,0.07084206797873485,0.06911633546915175,0.10674221761469493,3.7388673350594503,11.927818094752563,0.5648097915523169,0.3822028636932373,42,64,euler,5
300,0.004268771503120661,0.0711859421890923,0.06963020259023,0.10492269642275374,3.8992741229352155,11.936702907960889,0.55807830670106,0.6102521419525146,42,64,euler,5
400,0.0033301564399152994,0.0713465296211258,0.06938724516271155,0.10787094049797448,3.6048173694135768,11.88464014050145,0.513828049607287,0.8354790210723877,42,64,euler,5
500,0.0036499458365142345,0.07082642121630699,0.06916852864123091,0.10521737635735104,3.820405187016426,11.952043039254795,0.5613345746857227,1.0583980083465576,42,64,euler,5
600,0.006081543397158384,0.07099734470928468,0.0694546641521484,0.10594896131688662,3.577846505767685,11.860531752236326,0.479658218198755,1.2881338596343994,42,64,euler,5
700,0.0037283485289663076,0.07101180693271691,0.06943078420004611,0.10700382491755012,3.298039517920834,11.786476391024202,0.44913619749195427,1.5154738426208496,42,64,euler,5
800,0.004107236862182617,0.07090705852337238,0.06947361679941999,0.1068011969398333,3.6779255023049653,11.91014297566065,0.5767527359850488,1.7404978275299072,42,64,euler,5
900,0.004841072950512171,0.07036051552583658,0.06893919838144458,0.10539104823198761,3.6426286262362004,11.943210071859317,0.607094668450394,1.9652118682861328,42,64,euler,5
1000,0.0033430263865739107,0.06969862099139316,0.06845901675724975,0.1036706495994216,3.848560641279475,12.01906129435188,0.5486910699832425,2.1903998851776123,42,64,euler,5
1100,0.0035959966480731964,0.06973599443480188,0.06823580318230837,0.1034733316052023,3.6558702251198296,11.952722416370397,0.5364234562369357,2.414518117904663,42,64,euler,5
1200,0.0038682923186570406,0.07036524982610289,0.06873655278215651,0.10519869128030729,3.3983003701192875,11.895327639621742,0.6188098928578114,2.6396310329437256,42,64,euler,5
1300,0.0032643326558172703,0.06616975311812327,0.06423671493900818,0.09983676835676097,4.672917932771141,12.579223294635097,0.6067150299915551,2.8651609420776367,42,64,euler,5
1400,0.0038610445335507393,0.06698544630580153,0.06570356751964579,0.09992822533159837,4.232558161694385,12.365833685634934,0.5548142518546811,3.098134994506836,42,64,euler,5
1500,0.004193237982690334,0.06764372727622546,0.06578214892421397,0.10325907941299997,3.853935433099517,12.26213004004714,0.6262165765142768,3.3245980739593506,42,64,euler,5
1600,0.0040456256829202175,0.06735437722716905,0.0663319903632884,0.10198207371560672,4.097126756265172,12.353083294629757,0.5336005318848511,3.5536439418792725,42,64,euler,5
1700,0.003293850924819708,0.0676705648480639,0.06662310685839667,0.10171454719323636,3.925740123340881,12.244182065846722,0.6809354409743814,3.7813050746917725,42,64,euler,5
1800,0.003013184294104576,0.06589198799269844,0.06404337603381616,0.10097996981656587,4.343049821473232,12.518972374053144,0.6053490268843786,4.00620698928833,42,64,euler,5
1900,0.004511356353759766,0.06666650134585096,0.06505132088994658,0.10150374027999187,4.261256856753899,12.44445660983674,0.5461147595979551,4.230938911437988,42,64,euler,5
2000,0.0025986034888774157,0.06578666658748798,0.0641547174205126,0.09890737515042443,4.225459603873739,12.453426164177246,0.5990352399533967,4.457782030105591,42,64,euler,5
2100,0.002881651744246483,0.06593763294433774,0.06421497834638912,0.09992748167263339,3.7780526359936113,12.325764193344334,0.5369680033036939,4.68604588508606,42,64,euler,5
2200,0.003048315877094865,0.06530186871360925,0.06341899707708909,0.10113501760922387,3.9726911756175856,12.505554970212604,0.6403608409160109,4.915329933166504,42,64,euler,5
2300,0.0036004201974719763,0.06506155564152809,0.06375936618664957,0.09809835626449595,4.062646166006203,12.505740840396054,0.5407095629536397,5.140609979629517,42,64,euler,5
2400,0.0022504182998090982,0.0654406008340508,0.06421150693643429,0.09993400473847754,3.8196538282462087,12.420085678336282,0.6524990827532745,5.364215135574341,42,64,euler,5
2500,0.003430033568292856,0.06445388282958794,0.06285358385302287,0.0984939621649811,3.9462475084414246,12.530360349717352,0.5939437349114508,5.58799409866333,42,64,euler,5
2600,0.004782909993082285,0.06505611423356757,0.0637592025121233,0.09862911381634504,3.7587209035412443,12.444411279311513,0.5991147863664911,5.810266971588135,42,64,euler,5
2700,0.0038034471217542887,0.06348913929750324,0.0618355236442556,0.09675117996158719,3.961942534280003,12.640236999710437,0.7006481630113061,6.032725095748901,42,64,euler,5
2800,0.003564469749107957,0.06137138437574902,0.05943163565468268,0.09468305874426708,4.603510241585399,13.028970584948576,0.5980801215802612,6.255650997161865,42,64,euler,5
2900,0.0026461943052709103,0.061870570445998724,0.0605545239895634,0.0958175515276638,4.3151503923893255,12.86837352991964,0.7055475394399958,6.478379964828491,42,64,euler,5
3000,0.0024270920548588037,0.06200286735717444,0.06103959892130173,0.09482541872305825,4.305933609655176,12.859897485575477,0.4937320980615138,6.702148914337158,42,64,euler,5
100,0.008430649526417255,0.11910932155362927,0.11649771233916872,0.16765461035240078,1.6607326526529633,17.48957809410389,0.870863096862794,0.16218018531799316,42,64,euler,10
200,0.007882772013545036,0.11949877783481225,0.11666156014349216,0.16974458992008162,1.4086564243085604,17.386284634054338,0.8661712109593679,0.40552711486816406,42,64,euler,10
300,0.0088324761018157,0.11595929828029014,0.11268171548058581,0.1643940054959733,1.7801768330197718,17.814467839069753,0.7879592762209057,0.650853157043457,42,64,euler,10
400,0.00988064892590046,0.11253740189749124,0.11041624441726028,0.15929813011108157,2.129524709746713,18.178618415156745,0.8067421495734897,0.8962440490722656,42,64,euler,10
500,0.008563850075006485,0.11032469481174975,0.1080962060447373,0.15571319909308476,2.0438576153167816,18.339936800678014,0.8673303551249844,1.1483159065246582,42,64,euler,10
600,0.008257938548922539,0.11122889374437558,0.10920429810794513,0.15792477870273633,1.651135223094189,18.16846480369075,0.7452928847217988,1.3985259532928467,42,64,euler,10
700,0.006921111606061459,0.10684069550635023,0.10490947806608963,0.15140930160797572,1.998328859147127,18.664605682584504,0.9432358042942939,1.6674811840057373,42,64,euler,10
800,0.007183609064668417,0.10360444419050772,0.10171001737436242,0.14738583968191166,2.453811089815611,19.160019628908678,0.8904125471114189,1.9112672805786133,42,64,euler,10
900,0.00803065113723278,0.10091665959599554,0.09874033296722451,0.1450728492681821,2.5719788785751923,19.520652325193904,1.1084622113956728,2.1755290031433105,42,64,euler,10
1000,0.007765450514853001,0.09950472225971244,0.09743866791635636,0.14255271683238213,2.3832487931415347,19.58341234867489,0.9228710712927352,2.431036949157715,42,64,euler,10
1100,0.006554220337420702,0.0968372214899358,0.09493577427551403,0.13995140894565186,2.5888613169712746,19.98534830639355,1.0272059310795432,2.6788501739501953,42,64,euler,10
1200,0.006196976639330387,0.09426298161586529,0.09253811273077867,0.136065314766134,2.62842023859127,20.249520650996466,0.7759734993690314,2.9475409984588623,42,64,euler,10
1300,0.006104220636188984,0.0934103315869438,0.0913284249596596,0.13528206285393615,2.4387794950879513,20.265607785729937,0.7643798865599823,3.206179141998291,42,64,euler,10
1400,0.005191544536501169,0.08948147031891769,0.08822124543782345,0.12925981180724772,2.831026823456663,20.856965207444087,0.7710981342339153,3.465693950653076,42,64,euler,10
1500,0.005188353359699249,0.08677297951760608,0.08543815843171942,0.12574542615978895,2.970555341338567,21.278264203048902,0.9237167464215389,3.7314391136169434,42,64,euler,10
1600,0.004892981611192226,0.08523869741429108,0.08313661861192823,0.12579630545187834,2.9948193567608365,21.513529851311574,1.046195398415993,3.9972031116485596,42,64,euler,10
1700,0.0047229016199707985,0.08288209452404977,0.0812278852459053,0.12149874004984786,3.110118955499027,21.84138068760481,0.6705673904225948,4.241842031478882,42,64,euler,10
1800,0.005464226007461548,0.08042802319171141,0.07918761162721077,0.11895633585733495,3.2873371702705176,22.276207764425028,1.093025938814455,4.484561920166016,42,64,euler,10
1900,0.004294133745133877,0.0787642292136031,0.07718528869952651,0.1175547513786026,3.1808401105884716,22.47672013922891,1.0233332066076688,4.7258460521698,42,64,euler,10
2000,0.0038052513264119625,0.07541706221669094,0.07408142819846769,0.11175243906132583,3.792988728310291,23.225009927002564,1.0889553449914169,4.966161012649536,42,64,euler,10
2100,0.003863187041133642,0.07615230094351197,0.07475381383070784,0.11388926281898676,2.928013250178104,22.69101063260703,0.9710846540280464,5.206585168838501,42,64,euler,10
2200,0.0037264761049300432,0.07219379205037571,0.07102123002534155,0.10964698524998993,3.6135539088562636,23.67472454665178,1.0778832155376592,5.448567152023315,42,64,euler,10
2300,0.003779300954192877,0.07060586909129837,0.0694382837915658,0.10642535611437043,3.5883591717931047,23.877596670349664,1.0428789439149546,5.687767028808594,42,64,euler,10
2400,0.003074965439736843,0.06873487761438396,0.06745370349833552,0.1043792662497991,3.8346167332501304,24.30153845137612,0.858181171488557,5.946923017501831,42,64,euler,10
2500,0.0035563430283218622,0.06519690468189375,0.06387938939723098,0.09998774377485163,4.2727236908038275,25.174732782015493,1.108828688131222,6.1894941329956055,42,64,euler,10
2600,0.002812675666064024,0.06466678099340784,0.0628865644535675,0.10070553463060014,3.7725537750678777,24.98796022411077,0.9588727267203435,6.441512107849121,42,64,euler,10
2700,0.003481008345261216,0.06191583010285618,0.06064435515684247,0.0957421810123259,4.559265050237605,25.969942040016896,1.4991233672856792,6.68323016166687,42,64,euler,10
2800,0.0037250062450766563,0.061515175956939644,0.06036955821455958,0.09541103618859713,3.8859973705889037,25.58856027453728,1.096108089586583,6.922995090484619,42,64,euler,10
2900,0.003394726663827896,0.05900723449977278,0.057740671478538785,0.09339413753371129,4.501820230588781,26.50266653617651,1.4258039403731082,7.163010120391846,42,64,euler,10
3000,0.00240952055901289,0.05654324912647225,0.05534804349183087,0.08983780969243536,4.762880790619059,27.131273248555793,1.3586674466824087,7.403886079788208,42,64,euler,10
100,0.01145443506538868,0.14527792244763682,0.14229541802472268,0.20337099412561538,0.9220567618780203,76.73038045604807,4.1849480638796335,0.19810104370117188,42,64,euler,50
200,0.0072884466499090195,0.09719982193417756,0.09493567230155597,0.14365537578092002,2.746001232866686,100.13493850254949,4.936842703938204,0.539567232131958,42,64,euler,50
300,0.00496435072273016,0.07880628506328612,0.07731829892039066,0.11951981401841522,3.2698301281252906,112.61342138926624,5.610742768217124,0.9373071193695068,42,64,euler,50
