epoch,period,update_step,objective_train,test_euler_residual_mean,test_euler_residual_p50,test_euler_residual_p90,test_lifetime_reward_mean,aggregate_capital_mean,aggregate_capital_std,wall_time_sec,seed,net_size,objective_name,num_agents
1,1,1,8.020249366760254,,,,,,,,42,64,bellman,1
2,11,2,2.2227814197540283,,,,,,,,42,64,bellman,1
3,21,3,8.087113380432129,,,,,,,,42,64,bellman,1
4,31,4,7.172736644744873,,,,,,,,42,64,bellman,1
5,41,5,3.205470323562622,,,,,,,,42,64,bellman,1
6,51,6,1.4556100368499756,,,,,,,,42,64,bellman,1
7,61,7,1.3901516199111938,,,,,,,,42,64,bellman,1
8,71,8,8.778175354003906,,,,,,,,42,64,bellman,1
9,81,9,1.7245121002197266,,,,,,,,42,64,bellman,1
10,91,10,4.9253363609313965,,,,,,,,42,64,bellman,1
11,101,11,6.565688610076904,,,,,,,,42,64,bellman,1
12,111,12,4.909321308135986,,,,,,,,42,64,bellman,1
13,121,13,2.7282302379608154,,,,,,,,42,64,bellman,1
14,131,14,0.5323204398155212,,,,,,,,42,64,bellman,1
15,141,15,7.056347370147705,,,,,,,,42,64,bellman,1
16,151,16,8.441956520080566,,,,,,,,42,64,bellman,1
17,161,17,1.4086506366729736,,,,,,,,42,64,bellman,1
18,171,18,3.206669569015503,,,,,,,,42,64,bellman,1
19,181,19,5.799933910369873,,,,,,,,42,64,bellman,1
20,191,20,8.01932430267334,,,,,,,,42,64,bellman,1
21,201,21,4.356167793273926,,,,,,,,42,64,bellman,1
22,211,22,4.592127799987793,,,,,,,,42,64,bellman,1
23,221,23,8.363859176635742,,,,,,,,42,64,bellman,1
24,231,24,9.223986625671387,,,,,,,,42,64,bellman,1
25,241,25,4.784635543823242,,,,,,,,42,64,bellman,1
26,251,26,4.663005828857422,,,,,,,,42,64,bellman,1
27,261,27,5.621249198913574,,,,,,,,42,64,bellman,1
28,271,28,1.5778470039367676,,,,,,,,42,64,bellman,1
29,281,29,3.694326639175415,,,,,,,,42,64,bellman,1
30,291,30,2.6166274547576904,,,,,,,,42,64,bellman,1
31,301,31,2.9804916381835938,,,,,,,,42,64,bellman,1
32,311,32,1.3783601522445679,,,,,,,,42,64,bellman,1
33,321,33,6.576245307922363,,,,,,,,42,64,bellman,1
34,331,34,8.491315841674805,,,,,,,,42,64,bellman,1
35,341,35,8.845348358154297,,,,,,,,42,64,bellman,1
36,351,36,0.882426381111145,,,,,,,,42,64,bellman,1
37,361,37,4.677890777587891,,,,,,,,42,64,bellman,1
38,371,38,5.4811882972717285,,,,,,,,42,64,bellman,1
39,381,39,5.271749496459961,,,,,,,,42,64,bellman,1
40,391,40,7.404586315155029,,,,,,,,42,64,bellman,1
41,401,41,6.777446746826172,,,,,,,,42,64,bellman,1
42,411,42,8.899542808532715,,,,,,,,42,64,bellman,1
43,421,43,7.517558574676514,,,,,,,,42,64,bellman,1
44,431,44,1.5055501461029053,,,,,,,,42,64,bellman,1
45,441,45,5.1571245193481445,,,,,,,,42,64,bellman,1
46,451,46,6.769372940063477,,,,,,,,42,64,bellman,1
47,461,47,4.518809795379639,,,,,,,,42,64,bellman,1
48,471,48,8.043505668640137,,,,,,,,42,64,bellman,1
49,481,49,2.2307331562042236,,,,,,,,42,64,bellman,1
50,491,50,4.552922248840332,,,,,,,,42,64,bellman,1
51,501,51,5.042073726654053,,,,,,,,42,64,bellman,1
52,511,52,5.874912261962891,,,,,,,,42,64,bellman,1
53,521,53,8.341959953308105,,,,,,,,42,64,bellman,1
54,531,54,5.1490678787231445,,,,,,,,42,64,bellman,1
55,541,55,0.2218000590801239,,,,,,,,42,64,bellman,1
56,551,56,7.803218841552734,,,,,,,,42,64,bellman,1
57,561,57,2.6069278717041016,,,,,,,,42,64,bellman,1
58,571,58,6.869476318359375,,,,,,,,42,64,bellman,1
59,581,59,0.24676091969013214,,,,,,,,42,64,bellman,1
60,591,60,3.0469818115234375,,,,,,,,42,64,bellman,1
61,601,61,7.906930446624756,,,,,,,,42,64,bellman,1
62,611,62,5.068482875823975,,,,,,,,42,64,bellman,1
63,621,63,2.0360970497131348,,,,,,,,42,64,bellman,1
64,631,64,2.2762486934661865,,,,,,,,42,64,bellman,1
65,641,65,7.43039608001709,,,,,,,,42,64,bellman,1
66,651,66,8.066686630249023,,,,,,,,42,64,bellman,1
67,661,67,8.420440673828125,,,,,,,,42,64,bellman,1
68,671,68,3.7420718669891357,,,,,,,,42,64,bellman,1
69,681,69,8.666810989379883,,,,,,,,42,64,bellman,1
70,691,70,1.1191374063491821,,,,,,,,42,64,bellman,1
71,701,71,6.891785144805908,,,,,,,,42,64,bellman,1
72,711,72,8.490358352661133,,,,,,,,42,64,bellman,1
73,721,73,6.4248881340026855,,,,,,,,42,64,bellman,1
74,731,74,3.3609297275543213,,,,,,,,42,64,bellman,1
75,741,75,1.7590789794921875,,,,,,,,42,64,bellman,1
76,751,76,5.302116870880127,,,,,,,,42,64,bellman,1
77,761,77,8.459551811218262,,,,,,,,42,64,bellman,1
78,771,78,3.458042621612549,,,,,,,,42,64,bellman,1
79,781,79,7.333581924438477,,,,,,,,42,64,bellman,1
80,791,80,6.587042331695557,,,,,,,,42,64,bellman,1
81,801,81,0.2502671182155609,,,,,,,,42,64,bellman,1
82,811,82,4.832058429718018,,,,,,,,42,64,bellman,1
83,821,83,0.28863435983657837,,,,,,,,42,64,bellman,1
84,831,84,1.9264568090438843,,,,,,,,42,64,bellman,1
85,841,85,7.367097854614258,,,,,,,,42,64,bellman,1
86,851,86,1.357515811920166,,,,,,,,42,64,bellman,1
87,861,87,2.746262788772583,,,,,,,,42,64,bellman,1
88,871,88,2.6840853691101074,,,,,,,,42,64,bellman,1
89,881,89,5.5825114250183105,,,,,,,,42,64,bellman,1
90,891,90,0.33665627241134644,,,,,,,,42,64,bellman,1
91,901,91,8.443370819091797,,,,,,,,42,64,bellman,1
92,911,92,8.6498441696167,,,,,,,,42,64,bellman,1
93,921,93,0.21800640225410461,,,,,,,,42,64,bellman,1
94,931,94,1.3090654611587524,,,,,,,,42,64,bellman,1
95,941,95,6.020550727844238,,,,,,,,42,64,bellman,1
96,951,96,6.981082439422607,,,,,,,,42,64,bellman,1
97,961,97,6.470874309539795,,,,,,,,42,64,bellman,1
98,971,98,1.9017823934555054,,,,,,,,42,64,bellman,1
99,981,99,2.9402761459350586,,,,,,,,42,64,bellman,1
100,991,100,6.298077583312988,2.3997088592749556,2.4026234818451453,2.580286953701054,-18.846343827808123,0.1339008277663829,0.007743028350563628,0.24317693710327148,42,64,bellman,1
101,1001,101,0.7599934935569763,,,,,,,,42,64,bellman,1
102,1011,102,1.9055445194244385,,,,,,,,42,64,bellman,1
103,1021,103,3.7371912002563477,,,,,,,,42,64,bellman,1
104,1031,104,5.357541561126709,,,,,,,,42,64,bellman,1
105,1041,105,2.286529779434204,,,,,,,,42,64,bellman,1
106,1051,106,3.018002510070801,,,,,,,,42,64,bellman,1
107,1061,107,2.5562174320220947,,,,,,,,42,64,bellman,1
108,1071,108,5.41671085357666,,,,,,,,42,64,bellman,1
109,1081,109,0.6219480037689209,,,,,,,,42,64,bellman,1
110,1091,110,5.518537521362305,,,,,,,,42,64,bellman,1
111,1101,111,0.29189807176589966,,,,,,,,42,64,bellman,1
112,1111,112,3.9472873210906982,,,,,,,,42,64,bellman,1
113,1121,113,4.366511821746826,,,,,,,,42,64,bellman,1
114,1131,114,1.231967568397522,,,,,,,,42,64,bellman,1
115,1141,115,1.3387434482574463,,,,,,,,42,64,bellman,1
116,1151,116,8.51999282836914,,,,,,,,42,64,bellman,1
117,1161,117,2.9743449687957764,,,,,,,,42,64,bellman,1
118,1171,118,3.2596442699432373,,,,,,,,42,64,bellman,1
119,1181,119,0.49138280749320984,,,,,,,,42,64,bellman,1
120,1191,120,4.640744209289551,,,,,,,,42,64,bellman,1
121,1201,121,8.299867630004883,,,,,,,,42,64,bellman,1
122,1211,122,2.6210930347442627,,,,,,,,42,64,bellman,1
123,1221,123,4.682826519012451,,,,,,,,42,64,bellman,1
124,1231,124,7.654263973236084,,,,,,,,42,64,bellman,1
125,1241,125,8.414703369140625,,,,,,,,42,64,bellman,1
126,1251,126,1.2973686456680298,,,,,,,,42,64,bellman,1
127,1261,127,1.0884051322937012,,,,,,,,42,64,bellman,1
128,1271,128,4.823410511016846,,,,,,,,42,64,bellman,1
129,1281,129,6.650948524475098,,,,,,,,42,64,bellman,1
130,1291,130,0.7225788831710815,,,,,,,,42,64,bellman,1
131,1301,131,4.193408966064453,,,,,,,,42,64,bellman,1
132,1311,132,0.7796001434326172,,,,,,,,42,64,bellman,1
133,1321,133,3.0204110145568848,,,,,,,,42,64,bellman,1
134,1331,134,7.466451644897461,,,,,,,,42,64,bellman,1
135,1341,135,0.4235004186630249,,,,,,,,42,64,bellman,1
136,1351,136,16.19491195678711,,,,,,,,42,64,bellman,1
137,1361,137,7.976661682128906,,,,,,,,42,64,bellman,1
138,1371,138,5.0332159996032715,,,,,,,,42,64,bellman,1
139,1381,139,1.6234511137008667,,,,,,,,42,64,bellman,1
140,1391,140,5.034026145935059,,,,,,,,42,64,bellman,1
141,1401,141,7.161115646362305,,,,,,,,42,64,bellman,1
142,1411,142,1.858629584312439,,,,,,,,42,64,bellman,1
143,1421,143,4.251340389251709,,,,,,,,42,64,bellman,1
144,1431,144,0.21688270568847656,,,,,,,,42,64,bellman,1
145,1441,145,1.6669238805770874,,,,,,,,42,64,bellman,1
146,1451,146,6.9480509757995605,,,,,,,,42,64,bellman,1
147,1461,147,2.550584554672241,,,,,,,,42,64,bellman,1
148,1471,148,3.350602865219116,,,,,,,,42,64,bellman,1
149,1481,149,8.153359413146973,,,,,,,,42,64,bellman,1
150,1491,150,1.0440380573272705,,,,,,,,42,64,bellman,1
151,1501,151,6.418168544769287,,,,,,,,42,64,bellman,1
152,1511,152,3.5067148208618164,,,,,,,,42,64,bellman,1
153,1521,153,2.5249452590942383,,,,,,,,42,64,bellman,1
154,1531,154,3.1021060943603516,,,,,,,,42,64,bellman,1
155,1541,155,0.28923630714416504,,,,,,,,42,64,bellman,1
156,1551,156,0.4513588547706604,,,,,,,,42,64,bellman,1
157,1561,157,4.302378177642822,,,,,,,,42,64,bellman,1
158,1571,158,2.4563169479370117,,,,,,,,42,64,bellman,1
159,1581,159,1.002485990524292,,,,,,,,42,64,bellman,1
160,1591,160,7.800098419189453,,,,,,,,42,64,bellman,1
161,1601,161,1.6705783605575562,,,,,,,,42,64,bellman,1
162,1611,162,3.199803113937378,,,,,,,,42,64,bellman,1
163,1621,163,3.8635120391845703,,,,,,,,42,64,bellman,1
164,1631,164,8.072163581848145,,,,,,,,42,64,bellman,1
165,1641,165,5.0933003425598145,,,,,,,,42,64,bellman,1
166,1651,166,1.5808647871017456,,,,,,,,42,64,bellman,1
167,1661,167,7.396683216094971,,,,,,,,42,64,bellman,1
168,1671,168,7.446047782897949,,,,,,,,42,64,bellman,1
169,1681,169,5.181330680847168,,,,,,,,42,64,bellman,1
170,1691,170,1.8269850015640259,,,,,,,,42,64,bellman,1
171,1701,171,0.2494848072528839,,,,,,,,42,64,bellman,1
172,1711,172,1.7294880151748657,,,,,,,,42,64,bellman,1
173,1721,173,1.3540611267089844,,,,,,,,42,64,bellman,1
174,1731,174,2.229841470718384,,,,,,,,42,64,bellman,1
175,1741,175,6.088621139526367,,,,,,,,42,64,bellman,1
176,1751,176,7.167911529541016,,,,,,,,42,64,bellman,1
177,1761,177,4.5226922035217285,,,,,,,,42,64,bellman,1
178,1771,178,2.2041642665863037,,,,,,,,42,64,bellman,1
179,1781,179,2.3862643241882324,,,,,,,,42,64,bellman,1
180,1791,180,0.2905786633491516,,,,,,,,42,64,bellman,1
181,1801,181,6.329054355621338,,,,,,,,42,64,bellman,1
182,1811,182,4.390974998474121,,,,,,,,42,64,bellman,1
183,1821,183,0.6146672964096069,,,,,,,,42,64,bellman,1
184,1831,184,7.286182403564453,,,,,,,,42,64,bellman,1
185,1841,185,3.3982441425323486,,,,,,,,42,64,bellman,1
186,1851,186,2.0633533000946045,,,,,,,,42,64,bellman,1
187,1861,187,6.039630889892578,,,,,,,,42,64,bellman,1
188,1871,188,2.6339380741119385,,,,,,,,42,64,bellman,1
189,1881,189,4.806657314300537,,,,,,,,42,64,bellman,1
190,1891,190,2.6307849884033203,,,,,,,,42,64,bellman,1
191,1901,191,2.2026760578155518,,,,,,,,42,64,bellman,1
192,1911,192,2.5428738594055176,,,,,,,,42,64,bellman,1
193,1921,193,3.962852716445923,,,,,,,,42,64,bellman,1
194,1931,194,6.934573173522949,,,,,,,,42,64,bellman,1
195,1941,195,5.784724712371826,,,,,,,,42,64,bellman,1
196,1951,196,2.033209800720215,,,,,,,,42,64,bellman,1
197,1961,197,7.601342678070068,,,,,,,,42,64,bellman,1
198,1971,198,8.04262924194336,,,,,,,,42,64,bellman,1
199,1981,199,2.8011231422424316,,,,,,,,42,64,bellman,1
