epoch,period,update_step,objective_train,test_euler_residual_mean,test_euler_residual_p50,test_euler_residual_p90,test_lifetime_reward_mean,aggregate_capital_mean,aggregate_capital_std,wall_time_sec,seed,net_size,objective_name,num_agents
1,1,1,0.5371954441070557,,,,,,,,42,64,euler,1
2,11,2,0.2093421071767807,,,,,,,,42,64,euler,1
3,21,3,0.27960649132728577,,,,,,,,42,64,euler,1
4,31,4,0.18393605947494507,,,,,,,,42,64,euler,1
5,41,5,0.08990328013896942,,,,,,,,42,64,euler,1
6,51,6,0.11561033129692078,,,,,,,,42,64,euler,1
7,61,7,0.15882375836372375,,,,,,,,42,64,euler,1
8,71,8,0.2769273817539215,,,,,,,,42,64,euler,1
9,81,9,0.22165575623512268,,,,,,,,42,64,euler,1
10,91,10,0.1027059555053711,,,,,,,,42,64,euler,1
11,101,11,0.11424729228019714,,,,,,,,42,64,euler,1
12,111,12,0.09035751223564148,,,,,,,,42,64,euler,1
13,121,13,0.06666040420532227,,,,,,,,42,64,euler,1
14,131,14,0.010265897028148174,,,,,,,,42,64,euler,1
15,141,15,0.13879893720149994,,,,,,,,42,64,euler,1
16,151,16,0.15158306062221527,,,,,,,,42,64,euler,1
17,161,17,0.04540911689400673,,,,,,,,42,64,euler,1
18,171,18,0.08803177624940872,,,,,,,,42,64,euler,1
19,181,19,0.11308330297470093,,,,,,,,42,64,euler,1
20,191,20,0.1112343817949295,,,,,,,,42,64,euler,1
21,201,21,0.06557069718837738,,,,,,,,42,64,euler,1
22,211,22,0.05292983725667,,,,,,,,42,64,euler,1
23,221,23,0.08216743171215057,,,,,,,,42,64,euler,1
24,231,24,0.09358890354633331,,,,,,,,42,64,euler,1
25,241,25,0.05746109411120415,,,,,,,,42,64,euler,1
26,251,26,0.06004592776298523,,,,,,,,42,64,euler,1
27,261,27,0.06952853500843048,,,,,,,,42,64,euler,1
28,271,28,0.03502047434449196,,,,,,,,42,64,euler,1
29,281,29,0.04685403034090996,,,,,,,,42,64,euler,1
30,291,30,0.0344565249979496,,,,,,,,42,64,euler,1
31,301,31,0.031631335616111755,,,,,,,,42,64,euler,1
32,311,32,0.015074461698532104,,,,,,,,42,64,euler,1
33,321,33,0.05108102411031723,,,,,,,,42,64,euler,1
34,331,34,0.06110787019133568,,,,,,,,42,64,euler,1
35,341,35,0.05843379348516464,,,,,,,,42,64,euler,1
36,351,36,0.005599780473858118,,,,,,,,42,64,euler,1
37,361,37,0.04659387841820717,,,,,,,,42,64,euler,1
38,371,38,0.047623831778764725,,,,,,,,42,64,euler,1
39,381,39,0.047317005693912506,,,,,,,,42,64,euler,1
40,391,40,0.05126231908798218,,,,,,,,42,64,euler,1
41,401,41,0.0433875247836113,,,,,,,,42,64,euler,1
42,411,42,0.0484185628592968,,,,,,,,42,64,euler,1
43,421,43,0.042348816990852356,,,,,,,,42,64,euler,1
44,431,44,0.008135568350553513,,,,,,,,42,64,euler,1
45,441,45,0.030806181952357292,,,,,,,,42,64,euler,1
46,451,46,0.038502104580402374,,,,,,,,42,64,euler,1
47,461,47,0.026311399415135384,,,,,,,,42,64,euler,1
48,471,48,0.04321044310927391,,,,,,,,42,64,euler,1
49,481,49,0.012668373063206673,,,,,,,,42,64,euler,1
50,491,50,0.025413643568754196,,,,,,,,42,64,euler,1
51,501,51,0.02828788384795189,,,,,,,,42,64,euler,1
52,511,52,0.15893052518367767,,,,,,,,42,64,euler,1
53,521,53,0.03603479266166687,,,,,,,,42,64,euler,1
54,531,54,0.032531753182411194,,,,,,,,42,64,euler,1
55,541,55,0.00636425381526351,,,,,,,,42,64,euler,1
