epoch,period,update_step,objective_train,train_points,test_euler_residual_mean,test_euler_residual_p50,test_euler_residual_p90,test_lifetime_reward_mean,aggregate_capital_mean,aggregate_capital_std,wall_time_sec,seed,net_size,objective_name,num_agents
1,1,1,7.034023761749268,1,,,,,,,,42,64,lifetime_reward,1
2,11,2,6.978024482727051,1,,,,,,,,42,64,lifetime_reward,1
3,21,3,7.227303504943848,1,,,,,,,,42,64,lifetime_reward,1
4,31,4,5.289045333862305,1,,,,,,,,42,64,lifetime_reward,1
5,41,5,2.401510238647461,1,,,,,,,,42,64,lifetime_reward,1
6,51,6,2.902996063232422,1,,,,,,,,42,64,lifetime_reward,1
7,61,7,7.1630120277404785,1,,,,,,,,42,64,lifetime_reward,1
8,71,8,4.117807865142822,1,,,,,,,,42,64,lifetime_reward,1
9,81,9,2.3442153930664062,1,,,,,,,,42,64,lifetime_reward,1
10,91,10,1.6486148834228516,1,,,,,,,,42,64,lifetime_reward,1
11,101,11,0.29590415954589844,1,,,,,,,,42,64,lifetime_reward,1
12,111,12,-0.45151764154434204,1,,,,,,,,42,64,lifetime_reward,1
13,121,13,0.6823055744171143,1,,,,,,,,42,64,lifetime_reward,1
14,131,14,-3.91377329826355,1,,,,,,,,42,64,lifetime_reward,1
15,141,15,-0.38858291506767273,1,,,,,,,,42,64,lifetime_reward,1
16,151,16,-6.509033679962158,1,,,,,,,,42,64,lifetime_reward,1
17,161,17,-8.310775756835938,1,,,,,,,,42,64,lifetime_reward,1
18,171,18,-8.811490058898926,1,,,,,,,,42,64,lifetime_reward,1
19,181,19,-9.125913619995117,1,,,,,,,,42,64,lifetime_reward,1
20,191,20,1.9032942056655884,1,,,,,,,,42,64,lifetime_reward,1
21,201,21,-7.891787528991699,1,,,,,,,,42,64,lifetime_reward,1
22,211,22,-6.76411247253418,1,,,,,,,,42,64,lifetime_reward,1
23,221,23,-12.398386001586914,1,,,,,,,,42,64,lifetime_reward,1
24,231,24,-12.388785362243652,1,,,,,,,,42,64,lifetime_reward,1
25,241,25,-6.058385848999023,1,,,,,,,,42,64,lifetime_reward,1
26,251,26,-15.06053352355957,1,,,,,,,,42,64,lifetime_reward,1
27,261,27,-17.2115535736084,1,,,,,,,,42,64,lifetime_reward,1
28,271,28,-15.355913162231445,1,,,,,,,,42,64,lifetime_reward,1
29,281,29,2.7261855602264404,1,,,,,,,,42,64,lifetime_reward,1
30,291,30,-10.3815279006958,1,,,,,,,,42,64,lifetime_reward,1
31,301,31,-12.03296184539795,1,,,,,,,,42,64,lifetime_reward,1
32,311,32,-9.274564743041992,1,,,,,,,,42,64,lifetime_reward,1
33,321,33,-14.99586296081543,1,,,,,,,,42,64,lifetime_reward,1
34,331,34,-9.987069129943848,1,,,,,,,,42,64,lifetime_reward,1
35,341,35,-14.235655784606934,1,,,,,,,,42,64,lifetime_reward,1
36,351,36,-14.951789855957031,1,,,,,,,,42,64,lifetime_reward,1
37,361,37,-13.923184394836426,1,,,,,,,,42,64,lifetime_reward,1
38,371,38,-13.416422843933105,1,,,,,,,,42,64,lifetime_reward,1
39,381,39,-12.472235679626465,1,,,,,,,,42,64,lifetime_reward,1
40,391,40,-15.330272674560547,1,,,,,,,,42,64,lifetime_reward,1
41,401,41,-13.466594696044922,1,,,,,,,,42,64,lifetime_reward,1
